Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,USD,AMZN,"2023-07-21, 13:57:21",50,130.478,130,-6523.9,-1.078,6524.978,0,-23.9,O
Trades,Data,Order,Stocks,USD,AMZN,"2023-09-19, 13:30:46",20,136.71,137.63,-2734.2,-1.0792,2735.2792,0,18.4,O;P
Trades,Data,Order,Stocks,USD,GOOG,"2023-07-31, 13:11:02",50,132.66,133.11,-6633,-1.078,6634.078,0,22.5,O
Trades,Data,Order,Stocks,USD,GOOG,"2023-10-30, 12:43:40",50,125.4882,125.75,-6274.41,-1.078,6275.488,0,13.09,O
Trades,Data,Order,Stocks,USD,GPRO,"2023-08-24, 09:39:55","2,500",3.9,3.81,-9750,-13.4,9763.4,0,-225,O;P
Trades,Data,Order,Stocks,USD,MSFT,"2023-07-20, 12:54:31",30,348.24,346.87,-10447.2,-1.0788,10448.2788,0,-41.1,O
Trades,Data,Order,Stocks,USD,NET,"2023-06-01, 13:30:35",100,70.8,69.65,-7080,-1.076,7081.076,0,-115,O
Trades,Data,Order,Stocks,USD,NVDA,"2023-06-07, 14:34:56",40,380,374.75,-15200,-1.0784,15201.0784,0,-210,O
Trades,Data,Order,Stocks,USD,NVDA,"2023-08-04, 14:32:12",20,449,446.8,-8980,-1.0792,8981.0792,0,-44,O
Trades,Data,Order,Stocks,USD,NVDA,"2023-08-24, 09:30:00",-20,502,471.63,10040,-1.16242,-7600.5392,2438.29838,607.4,C
Trades,Data,Order,Stocks,USD,NVDA,"2023-08-24, 09:30:00",-30,502,471.63,15060,-1.20363,-12091.0788,2967.71757,911.1,C
Trades,Data,Order,Stocks,USD,NVDA,"2023-08-28, 09:53:46",30,451.71,468.35,-13551.3,-1.0788,13552.3788,0,499.2,O
Trades,Data,Order,Stocks,USD,NVDA,"2023-09-07, 13:28:14",20,456,462.41,-9120,-1.0792,9121.0792,0,128.2,O
Trades,Data,Order,Stocks,USD,NVDA,"2023-09-15, 12:07:32",20,442.33,439,-8846.6,-1.0792,8847.6792,0,-66.6,O
Trades,Data,Order,Stocks,USD,NVDA,"2023-10-12, 10:10:32",-40,475,469.45,19000,-1.2362,-18042.9184,955.8454,222,C
Trades,Data,Order,Stocks,USD,NVDA,"2023-10-17, 11:45:07",20,443.48,439.38,-8869.6,-1.0792,8870.6792,0,-82,O
Trades,Data,Order,Stocks,USD,NVDA,"2023-10-26, 12:45:27",19,401.16,403.26,-7622.04,-1.07924,7623.11924,0,39.9,O
Trades,Data,Order,Stocks,USD,NVDA,"2023-11-02, 09:30:00",-19,433.74,435.06,8241.06,-1.14792348,-8665.02524,-425.113163,-25.08,C
Trades,Data,Order,Stocks,USD,NVDA,"2023-11-09, 09:30:03",-20,475,469.5,9500,-1.1581,-8861.3492,637.4927,110,C
Trades,Data,Order,Stocks,USD,NVDA,"2023-11-15, 12:48:29",20,487,488.88,-9740,-1.0792,9741.0792,0,37.6,O;P
Trades,Data,Order,Stocks,USD,SE,"2023-08-28, 11:19:31",200,37,36.9,-7400,-1.072,7401.072,0,-20,O
Trades,Data,Order,Stocks,USD,SPY,"2023-07-17, 12:45:30",10,450.3,450.84,-4503,-1.0796,4504.0796,0,5.4,O
Trades,Data,Order,Stocks,USD,SPY,"2023-08-18, 13:06:42",10,436,436.5,-4360,-1.0796,4361.0796,0,5,O
Trades,Data,Order,Stocks,USD,SPY,"2023-08-25, 14:45:37",10,439.9793,439.97,-4399.793,-1.0796,4400.8726,0,-0.093,O
Trades,Data,Order,Stocks,USD,SPY,"2023-09-15, 12:12:09",10,445,443.37,-4450,-1.0796,4451.0796,0,-16.3,O
Trades,Data,Order,Stocks,USD,SPY,"2023-10-16, 11:39:37",10,436,436.04,-4360,-1.0796,4361.0796,0,0.4,O
Trades,Data,Order,Stocks,USD,SPY,"2023-11-02, 15:19:17",10,430.4,430.76,-4304,-1.0796,4305.0796,0,3.6,O
Trades,Data,Order,Stocks,USD,SPY,"2023-11-07, 14:45:36",10,437.07,436.93,-4370.7,-1.0796,4371.7796,0,-1.4,O
Trades,Data,Order,Stocks,USD,SPY,"2023-11-28, 09:30:00",10,454,454.93,-4540,-1.08,4541.08,0,9.3,O
Trades,Data,Order,Stocks,USD,SPY,"2023-12-21, 09:30:00",10,470.98,472.7,-4709.8,-1.08,4710.88,0,17.2,O
Trades,Data,Order,Stocks,USD,TSLA,"2023-10-23, 13:02:53",30,216.3,212.08,-6489,-1.0788,6490.0788,0,-126.6,O
